aup-url,snapshots
https://www.kyriba.com/acceptable-use-policy/,"[(2015, 'http://web.archive.org/web/20151229184202/http://www.kyriba.com/acceptable-use-policy'), (2016, 'http://web.archive.org/web/20160125153937/http://www.kyriba.com/acceptable-use-policy'), (2017, 'http://web.archive.org/web/20170225210950/http://www.kyriba.com:80/acceptable-use-policy'), (2018, 'http://web.archive.org/web/20180301132213/http://www.kyriba.com:80/acceptable-use-policy'), (2019, 'http://web.archive.org/web/20191113230720/http://www.kyriba.com/acceptable-use-policy'), (2020, 'http://web.archive.org/web/20200513164752/https://www.kyriba.com/acceptable-use-policy/'), (2021, 'http://web.archive.org/web/20210304025602/https://www.kyriba.com/acceptable-use-policy/'), (2022, 'http://web.archive.org/web/20220307214355/http://www.kyriba.com/acceptable-use-policy'), (2023, 'http://web.archive.org/web/20230127152754/https://www.kyriba.com/acceptable-use-policy/')]"
https://www.programframework.com/acceptable-use-policy,"[(2020, 'http://web.archive.org/web/20200805065837/https://www.programframework.com/acceptable-use-policy'), (2021, 'http://web.archive.org/web/20210120151533/https://www.programframework.com/acceptable-use-policy'), (2022, 'http://web.archive.org/web/20220524110410/https://www.programframework.com/acceptable-use-policy'), (2023, 'http://web.archive.org/web/20230128023503/https://www.programframework.com/acceptable-use-policy')]"
https://webflow.com/legal/aup,"[(2022, 'http://web.archive.org/web/20220926183958/https://webflow.com/legal/aup'), (2023, 'http://web.archive.org/web/20230127135346/https://webflow.com/legal/aup')]"
https://www.theinstantgroup.com/en-us/acceptable-use-policy/,"[(2021, 'http://web.archive.org/web/20210118201406/https://www.theinstantgroup.com/en-us/acceptable-use-policy/'), (2022, 'http://web.archive.org/web/20220526081112/https://www.theinstantgroup.com/en-us/acceptable-use-policy/'), (2023, 'http://web.archive.org/web/20230128224137/https://www.theinstantgroup.com/en-us/acceptable-use-policy/')]"
https://working-technology.com/acceptable-use-policy/,"[(2020, 'http://web.archive.org/web/20200930142840/https://working-technology.com/acceptable-use-policy/'), (2021, 'http://web.archive.org/web/20210126172748/https://working-technology.com/acceptable-use-policy/'), (2022, 'http://web.archive.org/web/20220526132553/https://working-technology.com/acceptable-use-policy/'), (2023, 'http://web.archive.org/web/20230128154903/https://working-technology.com/acceptable-use-policy/')]"
https://www.powerdms.com/policy-learning-center/updating-your-acceptable-use-policy,"[(2021, 'http://web.archive.org/web/20210725071435/https://www.powerdms.com/policy-learning-center/updating-your-acceptable-use-policy'), (2022, 'http://web.archive.org/web/20220816201430/https://www.powerdms.com/policy-learning-center/updating-your-acceptable-use-policy')]"
https://www.otava.com/acceptable-use-policy/,"[(2019, 'http://web.archive.org/web/20190713220235/https://www.otava.com/acceptable-use-policy'), (2020, 'http://web.archive.org/web/20200411012659/https://www.otava.com/acceptable-use-policy/'), (2021, 'http://web.archive.org/web/20210225113027/https://www.otava.com/acceptable-use-policy/'), (2022, 'http://web.archive.org/web/20220117015558/https://www.otava.com/acceptable-use-policy/'), (2023, 'http://web.archive.org/web/20230122201419/https://www.otava.com/acceptable-use-policy/')]"
https://surfinternet.com/wp-content/uploads/sites/10/2022/07/acceptable-use-policy-surf-internet-1.pdf,"[(2022, 'http://web.archive.org/web/20220726150825/https://surfinternet.com/wp-content/uploads/sites/10/2022/07/acceptable-use-policy-surf-internet-1.pdf'), (2023, 'http://web.archive.org/web/20230220065551/https://surfinternet.com/wp-content/uploads/sites/10/2022/07/acceptable-use-policy-surf-internet-1.pdf')]"
https://www.progress.com/legal/aup,"[(2020, 'http://web.archive.org/web/20200924025946/https://www.progress.com/legal/aup'), (2021, 'http://web.archive.org/web/20210228195703/https://www.progress.com/legal/aup'), (2022, 'http://web.archive.org/web/20220124171953/https://www.progress.com/legal/aup'), (2023, 'http://web.archive.org/web/20230121071236/https://www.progress.com/legal/aup')]"
https://www.sciris.com/acceptable-use-policy.html,"[(2022, 'http://web.archive.org/web/20221130182355/https://sciris.com/acceptable-use-policy.html'), (2023, 'http://web.archive.org/web/20230128141249/https://sciris.com/acceptable-use-policy.html')]"
https://about.gitlab.com/handbook/people-group/acceptable-use-policy/,"[(2020, 'http://web.archive.org/web/20200606161908/https://about.gitlab.com/handbook/people-group/acceptable-use-policy/'), (2021, 'http://web.archive.org/web/20210118021131/https://about.gitlab.com/handbook/people-group/acceptable-use-policy/'), (2022, 'http://web.archive.org/web/20220115023611/https://about.gitlab.com/handbook/people-group/acceptable-use-policy/'), (2023, 'http://web.archive.org/web/20230130052821/https://about.gitlab.com/handbook/people-group/acceptable-use-policy/')]"
https://pagely.com/legal/acceptable-use-policy/,"[(2015, 'http://web.archive.org/web/20150317212251/https://pagely.com/legal/acceptable-use-policy/'), (2016, 'http://web.archive.org/web/20160915221845/https://pagely.com/legal/acceptable-use-policy/'), (2020, 'http://web.archive.org/web/20200810051816/https://pagely.com/legal/acceptable-use-policy/'), (2021, 'http://web.archive.org/web/20210118195139/https://pagely.com/legal/acceptable-use-policy/'), (2022, 'http://web.archive.org/web/20220519084005/https://pagely.com/legal/acceptable-use-policy/'), (2023, 'http://web.archive.org/web/20230202111553/https://pagely.com/legal/acceptable-use-policy/')]"
https://mountstreet.com/acceptable-use-policy/,"[(2022, 'http://web.archive.org/web/20220518065914/https://mountstreet.com/acceptable-use-policy/'), (2023, 'http://web.archive.org/web/20230322064454/https://mountstreet.com/acceptable-use-policy/')]"
https://www.everbridge.com/about/legal/acceptable-use-policy/,"[(2019, 'http://web.archive.org/web/20190805132315/https://www.everbridge.com/about/legal/acceptable-use-policy/'), (2020, 'http://web.archive.org/web/20200412080229/https://www.everbridge.com/about/legal/acceptable-use-policy/'), (2021, 'http://web.archive.org/web/20210126040954/https://www.everbridge.com/about/legal/acceptable-use-policy/'), (2022, 'http://web.archive.org/web/20220125011618/https://www.everbridge.com/about/legal/acceptable-use-policy/'), (2023, 'http://web.archive.org/web/20230220033023/https://www.everbridge.com/about/legal/acceptable-use-policy/')]"
